Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1924-12,-0.49235374,-0.63418114,-0.35052633
1925-01,-0.49163565,-0.6360688,-0.34720248
1925-02,-0.48531267,-0.62783724,-0.34278813
1925-03,-0.37375176,-0.5155008,-0.23200274
1925-04,-0.30694255,-0.47034937,-0.14353575
1925-05,-0.3056574,-0.5006012,-0.11071356
1925-06,-0.33413643,-0.53678447,-0.13148837
1925-07,-0.33086437,-0.5057325,-0.15599626
1925-08,-0.16828516,-0.38384804,0.04727771
1925-09,-0.25893372,-0.44479072,-0.0730767
1925-10,-0.28853402,-0.45646706,-0.120601006
1925-11,-0.059098415,-0.20052361,0.082326785
1925-12,0.014048895,-0.13270758,0.16080537
1926-01,0.08253241,-0.06263089,0.22769572
1926-02,-0.035031483,-0.17242493,0.102361955
1926-03,0.023573108,-0.11576544,0.16291165
1926-04,-0.1579929,-0.327664,0.01167819
1926-05,-0.27003446,-0.4538862,-0.08618276
1926-06,-0.18281585,-0.3733924,0.0077607087
1926-07,-0.2084477,-0.38436303,-0.03253235
1926-08,-0.10001693,-0.32225892,0.12222505
1926-09,-0.11788381,-0.2965996,0.06083199
1926-10,-0.06996329,-0.22726479,0.08733821
1926-11,-0.115788996,-0.25999144,0.028413441
1926-12,-0.32215574,-0.46747088,-0.17684063
1927-01,-0.31123906,-0.45435637,-0.16812176
1927-02,-0.21210012,-0.33594212,-0.08825814
1927-03,-0.41895348,-0.5508106,-0.28709638
1927-04,-0.3145047,-0.4677973,-0.16121212
1927-05,-0.23004514,-0.40716198,-0.05292829
1927-06,-0.24831119,-0.43623513,-0.06038725
1927-07,-0.20484532,-0.37125188,-0.038438786
1927-08,-0.21330415,-0.42017597,-0.0064323
1927-09,-0.11964897,-0.28789678,0.04859885
1927-10,-0.02967228,-0.18330196,0.1239574
1927-11,-0.12667355,-0.25778046,0.0044333646
1927-12,-0.32356292,-0.46620953,-0.18091631
1928-01,-0.017104585,-0.1668746,0.13266544
1928-02,-0.124669254,-0.2695675,0.020228995
1928-03,-0.3195826,-0.46694115,-0.17222404
1928-04,-0.23520902,-0.39391342,-0.076504625
1928-05,-0.3014689,-0.48644242,-0.11649541
1928-06,-0.32672966,-0.51603055,-0.1374288
1928-07,-0.1883196,-0.35774884,-0.018890347
1928-08,-0.17851628,-0.38754088,0.030508325
1928-09,-0.20668688,-0.38965768,-0.02371608
1928-10,-0.1840448,-0.34064317,-0.027446417
1928-11,-0.17209516,-0.31970295,-0.024487386
1928-12,-0.22671194,-0.37439686,-0.07902704
1929-01,-0.4364513,-0.5833095,-0.28959316
1929-02,-0.6036853,-0.74768084,-0.45968977
1929-03,-0.48715258,-0.63443154,-0.33987364
1929-04,-0.4373352,-0.60708904,-0.2675813
1929-05,-0.4345294,-0.62124,-0.24781875
1929-06,-0.40885338,-0.5975827,-0.22012407
1929-07,-0.4396209,-0.6168994,-0.26234248
1929-08,-0.2663079,-0.48695058,-0.04566523
1929-09,-0.27733904,-0.46059266,-0.09408544
1929-10,-0.22126578,-0.38139418,-0.06113739
1929-11,-0.14017749,-0.28305233,0.0026973686
1929-12,-0.5603613,-0.7042419,-0.4164808
1930-01,-0.3631465,-0.49787483,-0.22841819
1930-02,-0.35584554,-0.4784241,-0.23326696
1930-03,-0.24732758,-0.3744386,-0.12021657
1930-04,-0.23128887,-0.38058066,-0.08199705
1930-05,-0.25067642,-0.4180869,-0.08326598
1930-06,-0.20374553,-0.3809626,-0.026528457
1930-07,-0.1882644,-0.36365265,-0.012876141
1930-08,-0.09765256,-0.3049344,0.10962929
1930-09,-0.092231415,-0.25912735,0.07466452
1930-10,-0.090577535,-0.23271994,0.05156486
1930-11,0.06376379,-0.063620925,0.1911485
1930-12,-0.06467221,-0.18759245,0.058248024
1931-01,-0.13693942,-0.2671767,-0.006702163
1931-02,-0.2586906,-0.36686972,-0.15051147
1931-03,-0.10919364,-0.23315944,0.014772162
1931-04,-0.17070459,-0.31463963,-0.026769554
1931-05,-0.19289996,-0.36193624,-0.023863683
1931-06,-0.02544678,-0.2039998,0.15310624
1931-07,-0.008178203,-0.17845777,0.16210136
1931-08,-0.026662722,-0.23960268,0.18627724
1931-09,-0.051968556,-0.2076939,0.10375679
1931-10,-0.026985472,-0.17087266,0.11690171
1931-11,-0.13579522,-0.26063263,-0.010957824
1931-12,-0.09730702,-0.2172313,0.022617267
1932-01,0.07975415,-0.043561757,0.20307006
1932-02,-0.17805362,-0.29942062,-0.056686606
1932-03,-0.1947655,-0.3203073,-0.06922365
1932-04,-0.061219946,-0.198662,0.076222114
1932-05,-0.15982142,-0.3201136,0.00047073714
1932-06,-0.25541136,-0.4258154,-0.0850073
1932-07,-0.12971984,-0.29410174,0.034662075
1932-08,-0.18982057,-0.39686376,0.017222626
1932-09,-0.00055066624,-0.15410176,0.15300043
1932-10,-0.09439127,-0.23334253,0.044559985
1932-11,-0.29486138,-0.41643777,-0.17328496
1932-12,-0.26667866,-0.38838974,-0.14496759
1933-01,-0.31109115,-0.4301322,-0.1920501
1933-02,-0.35099408,-0.46522236,-0.23676579
1933-03,-0.3851551,-0.5024361,-0.2678741
1933-04,-0.28470516,-0.42601293,-0.14339739
1933-05,-0.2769364,-0.45054585,-0.10332694
1933-06,-0.32360965,-0.5103935,-0.13682581
1933-07,-0.2903949,-0.4524689,-0.1283209
1933-08,-0.15375972,-0.3546877,0.047168247
1933-09,-0.32664743,-0.48648426,-0.1668106
1933-10,-0.245828,-0.38623607,-0.10541995
1933-11,-0.40483868,-0.51923364,-0.29044378
1933-12,-0.5141726,-0.63299805,-0.3953472
1934-01,-0.32326755,-0.43162593,-0.21490915
1934-02,-0.1451731,-0.24469295,-0.045653235
1934-03,-0.4310569,-0.5399451,-0.32216865
1934-04,-0.37176266,-0.50687045,-0.23665486
1934-05,-0.14018929,-0.29952848,0.019149903
1934-06,-0.09232751,-0.28172815,0.09707313
1934-07,-0.17809097,-0.33932257,-0.016859364
1934-08,-0.11440116,-0.3252075,0.09640516
1934-09,-0.13450967,-0.29044768,0.021428343
1934-10,-0.08177011,-0.21969576,0.056155562
1934-11,0.031826723,-0.08049537,0.14414883
1934-12,-0.111320004,-0.22109856,-0.0015414461
1935-01,-0.3479727,-0.46686283,-0.22908255
1935-02,0.04972145,-0.053259466,0.15270236
1935-03,-0.21446298,-0.31988317,-0.10904279
1935-04,-0.3228376,-0.460522,-0.18515322
1935-05,-0.31434223,-0.48563308,-0.1430514
1935-06,-0.2092866,-0.38938758,-0.029185612
1935-07,-0.14094204,-0.2998374,0.017953362
1935-08,-0.14877552,-0.34538043,0.04782942
1935-09,-0.19052882,-0.3428319,-0.03822576
1935-10,-0.055213235,-0.18450885,0.07408237
1935-11,-0.32153568,-0.42853072,-0.21454066
1935-12,-0.25653476,-0.36094522,-0.15212429
1936-01,-0.39848116,-0.5024208,-0.2945415
1936-02,-0.34311983,-0.44220343,-0.24403626
1936-03,-0.32916442,-0.43601322,-0.22231562
1936-04,-0.1883213,-0.31698588,-0.059656713
1936-05,-0.17232911,-0.33633974,-0.008318501
1936-06,-0.14899857,-0.31470138,0.016704235
1936-07,-0.06987007,-0.22382125,0.084081106
1936-08,-0.07327964,-0.27147797,0.12491867
1936-09,-0.108766146,-0.25690895,0.03937666
1936-10,-0.041382577,-0.17508227,0.092317104
1936-11,-0.054110777,-0.15767384,0.049452282
1936-12,-0.10642759,-0.21628995,0.0034347898
1937-01,-0.12685171,-0.23948237,-0.014221046
1937-02,0.066486835,-0.03919336,0.17216702
1937-03,-0.26192847,-0.37137395,-0.15248302
1937-04,-0.121213466,-0.255947,0.013520067
